游戏名,vndb_id,中文名,别名,发行年份,品牌,限制级,脚本,原画,音乐,声优,难度,平均分,评分人数,rank,系列作,时长,时长分钟,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11
ソーサレス＊アライヴ！～the World's End Fallen Star～,v23288,SorceressAlive!～世界末日陨落之星～,Sorceress*Alive！～the World's End Fallen Star～,2019,Fluorite,R18,LEGIOん、ストーリーワークス,早川 ハルイ、庄名 泉石、桜坂 つちゆ、桜 みさき、Rapt、meiz,琉姫 アルナ,小倉 結衣、遠野 そよぎ、北見 六花、花澤 さくら、小鳥居 夕花、満島 きよら,easy、normal,7.2,868,2416,否,长篇,2007,战斗,奇幻,科幻,魔法,转生/轮回,,,,,,
喫茶ステラと死神の蝶,v26414,星光咖啡馆与死神之蝶,Kissa Stella to Shinigami no Chou、Café Stella and the Death Goddess' Butterfly、星巴克与扑棱蛾子,2019,Yuzusoft,R18,J・さいろー、瀬尾 順、天宮 りつ、かずき ふみ,こぶいち、こもわた 遙華、むりりん、ろど,伊福部 武史、Angel Note、Famishin、森 まもる、井ノ原 智、山田屋 カズ、椎名 俊介、ユージ・ナイトー,上原 あおい、夏和小、麻倉 亞恋、音来内 麗、木之 みき,beginner、easy、normal,6.4,3829,7641,否,长篇,2437,转生/轮回,民俗,奇幻,咖啡厅,,,,,,,
Christmas Tina -泡沫冬景-,v24208,Christmas Tina -泡沫冬景-,クリスマスティナ、クリティナ,2019,Nekoday,全年龄,片岡 とも,Werkbau、forfreedo、老鹅、YeC夜蟲,bermei.inazawa,田口 宏子、若本 規夫、日野 聡、名塚 佳織、柳 知萧、劉 セイラ、悠月 美鈴、森中人、李 进、云鹤追、王 聪,easy、normal,6.9,1101,4302,是,短篇,578,咖啡厅,雪,,,,,,,,,
かりぐらし恋愛,v22045,寄宿之恋,Karigurashi Renai,2018,ASa Project,R18,天都、八日 なのか、言川 紺、内藤 自由,夕凪 セシナ、結城 リカ、冬壱 もんめ、たかへろ、なつき ゆう、アンのうん、秋月 すいれん,山下 航生、OdiakeS、朝霧 はやと、rian,歩 サラ、花澤 さくら、くすはら ゆい、鹿野 まなか,easy、normal,6.8,1578,4829,否,中篇,1258,meta,,,,,,,,,,
みにくいモジカの子,v21667,丑小鸭与文字祸,Mojika、モジカ、The Ugly Duckling,2018,NITRO+,R18,下倉 バイオ,はましま 薫夫,ハタ ユウスケ,桃井 いちご、木村 あやか、あかし ゆき、懸田 毬絵、水奈月 ひなん,easy、normal,6.2,934,8670,否,中篇,1072,超能力,阴谋,民俗,真女主,,,,,,,
神待ちサナちゃん,v22553,神待少女纱波,Kamisana,2018,Frill,R18,巽 ヒロヲ、白矢 たつき,伊倉 ナギサ,しょうゆ、竹下 智博、TAKUYA,月野 きいろ、大和 桜,easy、normal,6.6,720,6178,是,短篇,562,单女主,,,,,,,,,,
空に刻んだパラレログラム,v23908,印刻天际的Parallelogram,ぱられろ、Parallelo、Sora ni Kizanda Parallelogram,2018,Uguisu Kagura,R18,ルクル,桐葉、萩野 小唄、漆原六花,めと,唯香、鈴谷 まや、琉花 あか、そよかぜ みらい,normal,6,239,9100,否,中篇,1158,岛屿,科幻,,,,,,,,,
出会って5分は俺のもの！ 時間停止と不可避な運命,v23388,5分钟的邂逅！时间停止与不可避免的命运！,The inevitable destiny opened by an Atropos watch、Atropos、アトロポス、俺不可避、orefukahi、相见5分属于我！ 时间停止和不可避的命运、相遇之后的5分钟属于我！时间停止与不可避的命运,2018,Hulotte,R18,姫ノ木 あく、桐生 恭丞,池上 茜、ろど、meiz,Peak A Soul+、chokix、鈴木 ぷよ,歩 サラ、桃山 いおん、月野 きいろ、春乃 いろは、明羽 杏子,easy、normal,6.5,1280,7046,是,中篇,1500,科幻,真女主,,,,,,,,,
未来ラジオと人工鳩,v22603,未来广播与人工鸽,未来电波和人工鸽子,2018,Laplacian,R18,緒乃 ワサビ、はまぐり 孤之助、上都 河希,霜降、緒乃 ワサビ、ぺれっと,上原 一之龍、Xelfery、Muu Dogg、ラムシーニ、かしこ,小倉 結衣、神代 岬、春乃 いろは、海野 佳衣,easy、normal,6.5,586,6511,否,中篇,1080,科幻,夏天,末日,记忆篡改,,,,,,,
ランス10,v20802,兰斯10 决战,Rance X、ランス10－決戦－、Rance 10 -Kessen-、Rance 10,2018,Alice Soft,R18,ヨイドレ・ドラゴン、ダイス ころがし,織音、MIN-NARAKEN、たっくん,Shade、水夏 える、DJ C++、PKタートルズ,无配音,beginner、easy、normal,9.3,3587,2,是,超长篇,9750,奇幻,meta,战争,,,,,,,,
トリノライン：ジェネシス,v21295,,TRIノLINE GENESIS、Torino Line Genesis,2018,minori,R18,8、御厨 みくり、花見田 ひかる、鋏鷺,きのこのみ、柚子奈 ひよ、sata りすく、水野 早桜、真夏 ろこ,天門,御子神 猫、くすはら ゆい、八ッ橋 しなもん、要 しおり、天晴いぶ,normal,6.7,244,5162,否,短篇,495,夏天,岛屿,,,,,,,,,
アメイジング・グレイス -What color is your attribute?-,v23448,奇异恩典·圣夜的小镇,あめぐれ、奇异恩典圣夜的小镇、Amazing Grace -What color is your attribute?-,2018,Cabbage Soft,R18,しげた、冬茜 トム,梱枝 りこ、よねぞう,solfa、ave;new、橋咲 透、a.k.a.dRESS,藤咲 ウサ、よもぎすふれ、月白 まひる、桜田 紅,easy、normal,7.5,1244,1514,否,长篇,1842,悬疑,失忆,时间旅行,阴谋,末日,记忆篡改,,,,,
Summer Pockets,v20424,夏日口袋,サマーポケッツ、サマポケ、SumPock、Samapoke、Summer Pockets(無印)、SPRB、Summer Pockets Reflection Blue,2018,Key,全年龄,魁、ハサマ、新島 夕、今科 理央、富岡 征士郎,ふむゆん、Na-Ga、和泉 つばす、永山 ゆうのん,麻枝 准、折戸 伸治、水月 陵、塚越 雄一朗、どんまる、森藤 晶司、bermei.inazawa、しょうゆ、竹下 智博、中山 真斗、柳川 和樹、草川 信,小山 さほみ、高森 奈津美、田中 あいみ、千葉 翔也、小原 好美、嶺内 ともみ、岩井 映美里、一宮 朔、ファイルーズあい,beginner、easy、normal,8.2,5740,197,否,超长篇,3240,悬疑,时间旅行,夏天,岛屿,民俗,,,,,,
9-nine-そらいろそらうたそらのおと Episode.2 Sora Nimi,v21668,9-nine-天色天歌天籁音,9そらいろ、9Sorairo、9 -Nine- Episode 2: Sora Nimi,2018,Palette,R18,かずき ふみ,ぺろ、和泉 つばす,安瀬 聖、虻川 治,澤田 なつ、寺竹 順、沢澤 砂羽、夏和小、渚 しろな,beginner、easy、normal,7.2,4749,2755,是,中篇,655,悬疑,战斗,奇幻,超能力,犯罪,,,,,,
抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか？,v22899,,抜きゲーみたいな島に住んでる貧乳（わたし）はどうすりゃいいですか？、NukiTashi、ぬきたし、Is the Island Utopia or Dystopia?、拔作岛,2018,Qruppo,R18,倉骨 治人、神近 ゆう,如月 千幸、浮丸 つぼね、胡太郎,金閉開羅 巧夢、ウミガメ、池木 紗々、かしこ,花澤 さくら、そらまめ。、沢野 ぽぷら、水野 七海、柳 ひとみ、こはる 凪、飴川 紫乃、倉田 ありあ,beginner、easy、normal,7.4,4434,1614,是,长篇,2520,战斗,阴谋,岛屿,,,,,,,,
RIDDLE JOKER,v22230,,リドルジョーカー、谜语小丑、rj,2018,Yuzusoft,R18,J・さいろー、保住 圭、天宮 りつ、砥石 大樹,こぶいち、こもわた 遙華、むりりん、CWF美術部,伊福部 武史、Angel Note、佐々倉 マコト、新井 健史、Famishin、森 まもる、井ノ原 智、椎名 俊介,遥 そら、くすはら ゆい、沢澤 砂羽、夏和小、西園 純夏,beginner、easy、normal,6.5,4362,6796,否,长篇,2581,战斗,超能力,,,,,,,,,
ラズベリーキューブ,v22847,树莓立方体,ラズキュー、Rasberry Cube,2018,Madosoft,R18,近江谷 宥,はすね,斎藤 悠弥、まつむー、田中 俊裕、堀江 晶太,小野 涼子、小波 すず、蒼乃 むすび、飴川 紫乃,easy、normal,5.8,607,9634,否,长篇,1910,,,,,,,,,,,
如月真綾の誘惑,v22483,如月真绫的诱惑,Temptation of Elder Sister、oneyuu、如月真绫的诱惑,2018,AKABEiSOFT2,R18,泰良 則充,唯々月 たすく,tiko-μ、西坂 恭平,桃井 いちご,easy、normal,6.5,1096,7187,否,短篇,453,仅一位女主角,,,,,,,,,,
アオイトリ,v21523,青鸟,Blue Bird、Caged Bird,2017,Purple software,R18,御影、緒乃 ワサビ、はまぐり 孤之助,克、あきお、わいっしゅ、安納 エイト,虻川 治、山口 たこ,野々村 紗夜、秋野 花、橘 まお、くすはら ゆい、鈴谷 まや,beginner、easy、normal,7.3,2056,2065,否,长篇,1800,超能力,宅邸,奇幻,真女主,,,,,,,
ネコぱら vol.3 ネコたちのアロマティゼ,v19385,,NEKOPARA Vol.3 Aromatiser des filles-chats、Cats Paradise 3,2017,NEKO WORKs,R18,雪仁、鷹羽 蒼天,さより,水城 新人、Team-OZ、山田 重利、Shinji、PHA、Henry Clay Work,小倉 結衣、有坂 羽由,easy、normal,6.1,898,8980,是,短篇,450,多角恋,咖啡厅,,,,,,,,,
"ノラと皇女と野良猫ハート2 -Nora, Princess, and Crying Cat.-",v19841,野良与皇女与流浪猫之心2,ノラとと2、Noratoto 2、Nora、Princess、and Crying Cat. 2,2017,HARUKAZE,R18,はと,大空 樹、ひずみ、日下部 ハルカ、蒲磁 れん,Drop、ぽみ、RE-D,石上 静香、雨場 つかさ,easy、normal,7.5,974,1528,是,长篇,1926,魔法,奇幻,,,,,,,,,
サクラノモリ†ドリーマーズ 2,v20264,樱之杜†净梦者2,樱之杜†净梦者2、Sakura no Mori † Dreamers 2,2017,MOONSTONE,R18,呉,やまかぜ嵐、桜坂 つちゆ、日向 奈尾、イクラ、猫えモン,電気式華憐音楽集団、電気、Gaku,藤森 ゆき奈、榛名 れん、白月 かなめ、苺山 文太郎、仙地 祐里衣,easy、normal,7,507,3846,是,中篇,750,奇幻,血腥,,,,,,,,,
ニュートンと林檎の樹,v20330,牛顿与苹果树,Newrin、Newton and the Apple Tree,2017,Laplacian,R18,緒乃 ワサビ、はまぐり 孤之助,ベコ太郎、霜降、ぺれっと,上原 一之龍、中村 かしこ、Muu Dogg、MARUKEN、XELIK,民安 ともえ、小倉 結衣、秋野 花、白雪 碧、春乃 いろは、炒飯 ピラフ,easy、normal,6.4,912,7434,否,中篇,1200,时间旅行,真女主,,,,,,,,,
FLOWERS - Le volume sur hiver -,v19545,FLOWERS 冬篇,FLOWERS Fuyu-hen、Flowers4、FLOWERS -The volume of winter-,2017,Innocent Grey,全年龄,志水 はつみ,杉菜 水姫、翡翠,MANYO,名塚 佳織、岡本 理絵、明島 ゆうり,easy、normal,6.6,689,5919,是,中篇,975,悬疑,雪,同性恋,,,,,,,,
セヴンデイズ あなたとすごす七日間,v19654,7days—与你共度的七日间,7days with you: the most precious memory in our lives.、Seven Days,2017,LIFE0,全年龄,とむ 少佐,みこ,hotaru sounds,清水 愛、加藤 英美里、荒浪 和沙、上坂 すみれ、戸田 めぐみ、清水 彩香、桐谷 蝶々、藤田 昌代、桑原 由気、村上 奈津実、鈴代 紗弓,easy、normal,7.3,557,2339,是,中篇,1200,悬疑,夏天,,,,,,,,,
9-nine-ここのつここのかここのいろ Episode.1 Miyako Kujo,v19829,9-nine-九次九日九重色,９ここいろ、9 -Nine- Episode 1: Miyako Kujo、9っころ、Kukoro、9koro,2017,Palette,R18,かずき ふみ,ぺろ、和泉 つばす、BoCuden、プシュケー,虻川 治、田中 俊裕、山口 たこ,澤田 なつ、寺竹 順,beginner、easy、normal,6.4,4850,7727,是,短篇,510,悬疑,奇幻,超能力,魔法,犯罪,单女主,,,,,
景の海のアペイリア,v20860,流景之海的艾佩理雅,The sea of the landscape Apeiria、景（ひかり）の海のアペイリア、海景的艾佩莉雅、景之海的埃佩利亚、景之海、海景房、流景之海的艾佩理雅,2017,SILKY'S PLUS,R18,範乃 秋晴,小林 勝寿、いつい,薬師 るり、根本 克則、未来,桜川 未央、古河 徹人、秋野 花、小鳥居 夕花、橘 まお,beginner、easy、normal,7.9,2670,473,否,中篇,1725,悬疑,奇幻,科幻,失忆,时间旅行,,,,,,
美少女万華鏡 -罪と罰の少女-,v19182,美少女万华镜 -罪与罚的少女-,美少女万華鏡4、Biman 4,2017,ωstar,R18,吉祥寺 ドロレス,八宝備 仁,むにょっ、秋山 裕和,このは、ヒマリ、杏子 御津、榛名 れん、篠原 ゆみ,beginner、easy、normal,6.9,3050,4591,是,短篇,540,悬疑,真女主,,,,,,,,,
絆きらめく恋いろは,v21465,牵绊闪耀的恋之伊吕波,めくいろ、Mekuiro、羁绊辉耀的恋之伊吕波、永远的羁绊与恋爱之歌、羁绊辉煌恋爱入门,2017,CRYSTALiA,R18,瑞守 ねおん、ギハラ、砥石 大樹、にっし～,ぺろ、にろ、うすめ 四郎、萌木 雄太、サイキライダー,琉姫 アルナ、ALVINE,ヒマリ、卯衣、蓬 かすみ、藤崎 紗矢香,easy、normal,6.4,1818,7373,是,中篇,1695,战斗,岛屿,,,,,,,,,
金色ラブリッチェ,v21852,金辉恋曲四重奏,Kinkoi、金恋、金色Loveriche,2017,SAGA PLANETS,R18,さかき 傘、にっし～,長浜 めぐみ、ひさま くまこ、ほんたにかなえ、とらのすけ、有末 つかさ、ぴこぴこぐらむ,Elements Garden、水月 陵、下地 和彦、樋口 秀樹、菊田 大介、Arte Refact、Kuro、ふる、高瀬 一矢、尾崎 武士、松本 慎一郎,あじ 秋刀魚、遥 そら、小鳥居 夕花、猫村 ゆき、土屋 粘,beginner、easy、normal,7.6,3268,1150,否,长篇,2760,疾病,,,,,,,,,,
Making*Lovers,v21552,突然＊恋人,メイキング・ラバーズ,2017,SMEE,R18,モーリー、早瀬 ゆう、岸田 ソラ,谷山さん,ウミガメ,北見 六花、森谷 実園、羽鳥 いち、月野 きいろ、恋羽 もこ,beginner、easy、normal,7.4,2220,1649,否,长篇,1816,,,,,,,,,,,
水葬銀貨のイストリア,v20471,水葬银货的伊斯特利亚,水葬银货的 Istria、Istoria of SuisouGinka、水葬银币的伊斯特里亚,2017,Uguisu Kagura,R18,ルクル,桐葉、あまみね、漆原六花、なたーしゃ,めと,御苑生 メイ、秋野 花、くすはら ゆい、桜似 あかり,beginner、easy、normal,7.2,1953,2490,否,长篇,2550,超能力,阴谋,犯罪,疾病,,,,,,,
スキとスキとでサンカク恋愛,v19444,青春×好奇相伴的三角恋爱,Sankaku Renai: Love Triangle Trouble,2016,ASa Project,R18,天都、十 全、八日 なのか、言川 紺、内藤 自由,夕凪 セシナ、結城 リカ、冬壱 もんめ、たかへろ、なつき ゆう,山下 航生、rian,小野 涼子、清水 愛、大橋 歩夕、鹿野 まなか,easy、normal,6.6,731,6346,否,中篇,1740,meta,乡村,,,,,,,,,
生命のスペア,v19513,生命的备件,I was born for you、inosupa、生命的备件,2016,AKABEiSOFT2,R18,中島 大河,秋空 もみぢ,西坂 恭平,花澤 さくら、橘 まお,easy、normal,6.7,1185,5772,否,中篇,720,单女主,,,,,,,,,,
ネコぱら vol.2 姉妹ネコのシュクレ,v18713,,NEKOPARA vol.2 Des soeurs filles-chat tres gentilles、Cats Paradise 2,2016,NEKO WORKs,R18,雪仁,さより,水城 新人、Team-OZ、山口 朗彦、hikaru,成瀬 未亜、手塚 りょうこ,easy、normal,6,1081,9156,是,短篇,336,多角恋,咖啡厅,,,,,,,,,
ISLAND,v18498,,アイランド,2016,Frontwing,全年龄,ごぉ,空中 幼彩、マグナム,安瀬 聖、藤間 仁、藤田 淳平、菊地 創,田村 ゆかり、阿澄 佳奈、村川 梨衣,beginner、easy、normal,7.7,3266,767,否,长篇,2100,科幻,失忆,时间旅行,夏天,转生/轮回,末日,岛屿,宅邸,真女主,疾病,
まいてつ,v18131,爱上火车,Maitetu、铁道共舞,2016,Lose,R18,進行豹,Cura、Tam-U、Re:N根,"新井 健史、Team-OZ、studio sync,beat system、琉姫 アルナ、ALVINE、佐久間 きらら、SONO MAKERS",あじ 秋刀魚、桐谷 華、ヒマリ、樫野 樹,easy、normal,6.8,1119,4949,否,长篇,2265,科幻,真女主,,,,,,,,,
Re：LieF ～親愛なるあなたへ～,v19587,Re:LieF 〜献给亲爱的你〜,レリーフ、Re: LieF ~DeaR YoU~、레리프、Re:LieF ～献给亲爱的你～,2016,RASK,R18,雫 将維、えある、平乃 ひら、とべ あきら,クロノ ミツキ、mocha、雫 将維、胡太郎,金閉開羅 巧夢、中村 かしこ、池木 紗々、甘利 紗陽、Harry Dacre、渡信天翁、天草 月乃,奥山 歩、葵 ゆり、綾瀬 あかり、藤川なつ、黛 希和,easy、normal,6.9,939,4537,是,中篇,1534,悬疑,真女主,科幻,岛屿,梦境,音乐主题,,,,,
銀色、遥か,v18778,银色遥远,Ginharu,2016,tone work's,R18,魁、白矢 たつき、今科 理央、にっし～、丘野 塔也、真崎 ジーノ,恋泉 天音、秋野 すばる、武藤 此史、柚木 ガオ、古池屋、七麦 ヒロイ,MANYO、水月 陵、どんまる、Meis Clauson、しょうゆ、Meeon、竹下 智博、中沢 伴行,風音、橘 まお、くすはら ゆい、鈴谷 まや、柳 ひとみ,easy、normal,7.2,935,2525,否,超长篇,4353,民俗,雪,咖啡厅,,,,,,,,
"ノラと皇女と野良猫ハート -Nora, Princess, and Stray Cat.-",v18148,野良与皇女与流浪猫之心,Noratoto、ノラとと、노라토토,2016,HARUKAZE,R18,はと,大空 樹、ひずみ、日下部 ハルカ、プシュケー、胡太郎,はと、Drop、AH、森 リーモ 慎之介、ぽみ、RE-D,浅川 悠、遥 そら、種﨑 敦美、高森 奈津美,easy、normal,7.2,1723,2835,是,中篇,1598,魔法,奇幻,,,,,,,,,
フローラル・フローラブ,v18842,花之天使的夏日恋歌,フロフロ、Floflo、Floral Flowlove、花天使的夏恋歌,2016,SAGA PLANETS,R18,籐太、龍 岳来、砥石 大樹、御厨 みくり,長浜 めぐみ、柚木 ガオ、ほんたにかなえ、とらのすけ、有末 つかさ、茉宮 祈芹,水月 陵、Arte Refact、川崎 海、八木沼 悟志、松本 慎一郎、矢鴇 つかさ,秋野 花、小鳥居 夕花、くすはら ゆい、大堂 茉莉、宙白 青、四暮 れい,easy、normal,7.2,1127,2513,否,长篇,2375,魔法,奇幻,,,,,,,,,
仄暗き時の果てより,v19974,来自昏暗的时间尽头,来自昏暗的时间尽头、仄暗,2016,MOONSTONE,R18,呉,桜坂 つちゆ、イクラ、猫えモン,solfa、iyuna、橋咲 透、伊吹 ユキヒロ,サトウ ユキ、桃山 いおん、こたつ みやこ,easy、normal,7.3,1048,2160,是,中篇,1036,奇幻,血腥,时间旅行,,,,,,,,
千恋＊万花,v19073,千恋＊万花,Senren * Banka: A Thousand Colors of Love,2016,Yuzusoft,R18,籐太、瀬尾 順、天宮 りつ,こぶいち、こもわた 遙華、むりりん、煎路,Angel Note、新井 健史、Famishin、R.East、森 まもる、井ノ原 智、椎名 俊介,遥 そら、小鳥居 夕花、沢澤 砂羽、佐藤 みかん,beginner、easy、normal,6.8,7315,4682,否,长篇,2734,奇幻,民俗,乡村,,,,,,,,
枯れない世界と終わる花,v19658,永不枯萎的世界与终结之花,永不枯萎的世界与终之花、The rainbow appears after flowering rain.、karehana、kareseka、不败世界与终焉之花、永不枯萎的世界与终结之花,2016,Sweet & Tea,R18,雪仁,あめと ゆき、蟹屋 しく、味噌 職人、むかゆう,水城 新人、清水 永之,秋野 花、夏峰 いろは、沢澤 砂羽、谷 若葉,beginner、easy、normal,6.7,2261,5854,否,中篇,696,失忆,咖啡厅,,,,,,,,,
夏ノ鎖,v18806,夏之锁,Natsuno Kusari、[联合汉化],2016,CLOCKUP,R18,浅生 詠,のりざね,,葵 時緒、刺草 ネトル,easy、normal,6.7,1491,5413,否,短篇,357,夏天,单女主,,,,,,,,,
アマツツミ,v18852,天津罪,,2016,Purple software,R18,御影,克、鳥取 砂丘、月杜 尋、meiz,田辺 トシノ、YUKI NAKANO、虻川 治、宝野 聡史,小倉 結衣、秋野 花、山田 ゆな、夕季 鈴,beginner、easy、normal,7.5,3039,1265,否,长篇,1800,夏天,超能力,记忆篡改,真女主,,,,,,,
月影のシミュラクル -解放の羽-,v19964,月影魅像-解放之羽-,月影幻像、解放之羽、入木三分,2016,Applique,R18,桐月,オダワラハコネ,Angel Note、鷹石 しのぶ、Meis Clauson、西坂 恭平,桃山 いおん、春乃 いろは,beginner、easy、normal,6.9,2207,4192,否,中篇,800,悬疑,血腥,犯罪,宅邸,,,,,,,
FLOWERS - Le volume sur automne -,v18152,FLOWERS 秋篇,Flowers Aki-hen、Flowers3、FLOWERS -The volume of autumn-,2016,Innocent Grey,全年龄,鈴鹿 美弥、志水 はつみ,杉菜 水姫、翡翠,MANYO,西口 有香、瑞沢 渓、長妻 樹里,easy、normal,8.1,1015,297,是,中篇,952,悬疑,同性恋,,,,,,,,,
我和她的世界末日,v22117,,Our End of the World,2016,Juzi Ban,全年龄,黑白喵,33paradox、RING大,煉獄庭園,无配音,normal,5.3,386,10268,否,中篇,735,悬疑,时间旅行,末日,单女主,国产,,,,,,
うたわれるもの 二人の白皇,v18717,传颂之物-二人之白皇-,Utawarerumono 3、受讚颂者 二人的白皇,2016,Leaf/AQUAPLUS,全年龄,涼元 悠一、菅 宗光、まるいたけし、日暮 茶坊、暮羽 松葉,みつみ 美里、甘露 樹、本条 たたみ,石川 真也、豆田 将、松岡 純也、中上 和英、下川 直哉、林 茂樹,儀武 ゆう子,easy、normal,8.2,1529,253,是,超长篇,3240,悬疑,战斗,奇幻,科幻,超能力,魔法,转生/轮回,阴谋,末日,记忆篡改,战争
サクラノモリ†ドリーマーズ,v18760,樱之杜†净梦者,樱之杜†净梦者、Sakura no Mori † Dreamers,2016,MOONSTONE,R18,呉,やまかぜ嵐、桜坂 つちゆ、日向 奈尾、猫えモン,電気式華憐音楽集団、電気、Gaku,藤森 ゆき奈、榛名 れん、白月 かなめ、苺山 文太郎、仙地 祐里衣,easy、normal,6.7,771,5388,是,长篇,2100,悬疑,奇幻,血腥,超能力,犯罪,民俗,梦境,真女主,,,
祝姫,v17863,祝姬,いわいひめ,2016,Regista、DMM GAMES,全年龄,竜騎士07,和遥 キナ、mocha,椎名 建矢、細井 聡司、しほり、ロドリゲス のぶ、Charis-Node、田畑 三津広、中島 大介、シライシ 紗トリ,田中 涼子、ブリドカット・セーラ・恵美、本多 真梨子、赤﨑 千夏、大坪 由佳、古川 慎,normal,6.3,482,7879,否,中篇,1410,悬疑,奇幻,血腥,转生/轮回,阴谋,民俗,梦境,,,,
千の刃濤、桃花染の皇姫,v15708,千之刃涛、桃花染之皇姬,千桃、Senmomo、Sen no Hatou、Tsukisome no Kouki,2016,AUGUST,R18,榊原 拓、内田 ヒロユキ、安西 秀明,べっかんこう、夏野 イオ、北川 由貴、ゆうろ,Ceui、Active Planets、小高 光太郎、梵 陳煩、HIR、スミイ酸、佐久間 きらら、ラムシーニ,中島 沙樹、羽多野 渉、遥 そら、奏雨、高森 奈津美、猫村 ゆき,easy、normal,6.8,1727,4953,否,长篇,1800,战斗,失忆,血腥,魔法,奇幻,,,,,,
BALDR HEART,v18783,,バルドハート、BH,2016,GIGA,R18,卑影 ムラサキ、企画屋,緋ノ丘 シュウジ、FFC、きのこ むし、胡太郎、サイキライダー,MANYO、新井 健史、TGZ SOUNDs、高瀬 一矢、尾崎 武士,奏雨、桃 桃太、月影 桃、しぶさわ ゆきの、のはら 桜花,easy、normal,7.7,648,849,否,超长篇,3221,战斗,科幻,失忆,转生/轮回,阴谋,真女主,民俗,,,,
死に逝く君、館に芽吹く憎悪,v19233,逝去的你、于馆中萌生的憎恶,Shi ni Yuku Kimi、Yakata ni Mebuku Zouo、にくにく、Nikuniku、死馆、逝去的你、馆里苏醒的罪恶,2016,Bug System,R18,和泉 万夜,るび様、味噌 職人、むかゆう,電気、ソフトタッチマン、和解 事件,和葉、あかし ゆき,beginner、easy、normal,6.2,2258,8592,是,中篇,806,失忆,血腥,转生/轮回,末日,宅邸,,,,,,
美少女万華鏡 -神が造りたもうた少女たち-,v14365,美少女万华镜 -为神所创的少女们-,美少女万華鏡3、Biman 3,2015,ωstar,R18,吉祥寺 ドロレス,八宝備 仁,むにょっ、盛合 千鶴子、ポパン、秋山 裕和,上田 朱音、手塚 りょうこ,beginner、easy、normal,7.1,3228,3006,是,短篇,587,科幻,末日,,,,,,,,,
サクラノ詩 —櫻の森の上を舞う—,v562,樱之诗 - 在樱花之森上飞舞,樱之诗,2015,Makura,R18,SCA-自、浅生 詠,木根C、すかぢ、硯、月音、基4%、吉田 誠治、狗神 煌、籠目、新川 尚士、兎桐茸子,折倉 俊則、ALNEAR、ピクセルビー、松本 文紀、ryo、Erik Satie、Robert Schumann,小倉 結衣、藤森 ゆき奈、澤田 なつ、五行 なずな、大花 どん、早瀬 ゃょぃ、萌花ちょこ、藤神 司朗、猫村 ゆき、牛蛙 キタロウ,beginner、easy、normal,8.7,6624,27,是,超长篇,3900,失忆,民俗,,,,,,,,,
サノバウィッチ,v16044,魔女的夜宴,サノバウィッチ Sabbat of the Witch、Son of a Witch: Sabbat of the Witch、Sonova Witch、Sonovawitch、Sabbath of the Witch,2015,Yuzusoft,R18,籐太、保住 圭、天宮 りつ,こぶいち、こもわた 遙華、むりりん,佐々倉 マコト、新井 健史、Famishin、井ノ原 智、椎名 俊介、朝井 泰生,遥 そら、桐谷 華、黒咲 そら、明科 まなさ,beginner、easy、normal,7.1,5740,2911,否,超长篇,3000,时间旅行,魔法,真女主,咖啡厅,奇幻,,,,,,
FLOWERS - Le volume sur été -,v15395,FLOWERS 夏篇,Flowers Natsu-hen、FLOWERS 夏篇、Flowers2、FLOWERS -The volume of summer-,2015,Innocent Grey,全年龄,鈴鹿 美弥、志水 はつみ,杉菜 水姫、翡翠,MANYO,洲崎 綾,easy、normal,8.1,1281,326,是,中篇,960,夏天,真女主,同性恋,,,,,,,,
ソレヨリノ前奏詩,v15637,永不落幕的前奏诗,yorino、ヨリノ、それよりのぷろろーぐ、Soreyori no Prologue,2015,minori,R18,御影、鏡 遊、伝野てつ、花見田 ひかる,柚子奈 ひよ、sata りすく、水野 早桜、真夏 ろこ,天門、柳 英一朗,くすはら ゆい、春田 花音、日向 美紅,beginner、easy、normal,7.2,2169,2673,否,中篇,919,夏天,真女主,,,,,,,,,
花の野に咲くうたかたの,v16193,五色浮影绽放于花之海洋,花野盛开的瞬间、The Sweet World of The Ephemeral、Hananono、はなのの,2015,Applique,R18,桐月,オダワラハコネ,Angel Note、鷹石 しのぶ、山田屋 カズ、椎名 俊介,有栖川 みや美、秋野 花、くすはら ゆい、二戒堂 文乃、相葉 美鳥,easy、normal,6.8,640,5099,否,中篇,1747,悬疑,,,,,,,,,,
レイジングループ,v21289,人狼村之谜,乐境虏逋、人狼村、愤怒循环、Raging Loop,2015,Kemco Corporation,全年龄,あんひびあん,影由,あんひびあん、乃々都,岡村 海那実、荒井 智、北澤 しおん、仮屋 美希、松本 恭平、斉藤 拓哉、植木 由美子、松元 一真、勝畑 伸之介、小澤 直樹、南 美穂、岩本 悠花、百瀬 晃人、古谷野 紗羅、鴨野孝昇、鯛ゆみ坊,beginner、easy、normal,8.2,5402,276,否,长篇,2190,悬疑,奇幻,科幻,时间旅行,超能力,魔法,阴谋,民俗,真女主,,
